# HSM/GeV  HNSM/GeV  HS/GeV  T/GeV
2.798052E-02  9.328674E-03  1.979674E-04  7.340583E+01
2.770769E-02  9.237739E-03  1.969746E-04  7.340697E+01
2.483362E-02  8.279710E-03  1.376091E-04  7.341610E+01
1.462171E-02  4.875600E-03  9.174459E-05  7.348916E+01
1.461140E-02  4.872163E-03  9.189920E-05  7.348926E+01
1.459442E-02  4.866503E-03  9.205596E-05  7.348936E+01
1.442502E-02  4.810034E-03  8.961711E-05  7.349103E+01
9.014063E-03  3.006433E-03  5.221583E-05  7.356408E+01
3.613677E-03  1.206410E-03  4.562604E-05  7.363713E+01
2.151266E-03  7.188416E-04  -1.713108E-06  7.480597E+01
1.992953E-03  6.660740E-04  -1.210735E-06  7.490597E+01
1.834640E-03  6.133064E-04  -7.083623E-07  7.500597E+01
-3.146300E-02  -1.048679E-02  2.965180E-04  9.375747E+01
9.573369E-03  3.190602E-03  6.467525E-04  1.171968E+02
1.297236E-03  4.313027E-04  1.487723E-03  1.464960E+02
3.063579E-03  1.031059E-03  -3.088084E-03  1.831201E+02
-2.541616E-03  -9.045098E-04  -4.891311E-03  2.289001E+02
-2.877987E-04  -1.841747E-04  1.218040E-02  2.861251E+02
4.053227E-03  1.978486E-03  1.413539E-03  3.576564E+02
4.998662E-05  3.904159E-05  6.789584E-04  4.470704E+02
-4.435376E-05  2.033615E-06  7.730697E-04  5.588381E+02
1.487669E-02  1.248991E-03  1.076403E-02  6.286928E+02
4.507216E-04  5.718412E-04  -3.504934E-04  6.985476E+02
3.789298E-03  -2.036371E-03  -1.033516E-02  7.197976E+02
-9.230895E-05  -3.879379E-04  1.492997E-04  7.410476E+02
4.016763E-05  -1.621187E-04  -5.220895E-05  7.794771E+02
1.479246E-03  3.134296E-03  -9.683517E-04  8.208897E+02
-1.233748E-02  -1.273621E-02  6.634047E-04  8.747926E+02
-8.709465E-05  2.078021E-04  1.933820E-04  9.033836E+02
4.663528E-04  9.607706E-04  -1.229893E-03  9.319747E+02
1.373784E-04  -1.499605E-04  -6.460259E-04  9.474633E+02
4.254911E-03  -4.429232E-03  1.284449E-03  9.629520E+02
1.358259E-03  8.068086E-05  -5.730264E-06  9.962725E+02
3.094147E-04  2.833429E-04  6.832622E-05  1.000000E+03
