#  index  kappa  tanbeta   mu/GeV  Akap/GeV
1  -6.393842E-02  3.000000E+00  2.242692E+02  2.053939E+02  
2  -6.393842E-02  3.000000E+00  3.974863E+02  3.736753E+02  
3  -6.393842E-02  3.000000E+00  -4.793916E+02  -6.069008E+02  
4  -6.393842E-02  3.000000E+00  -2.014597E+02  -2.065603E+02  
5  -6.393842E-02  3.000000E+00  -4.967688E+02  -2.178844E+02  
6  -6.393842E-02  3.000000E+00  -4.906983E+02  1.382256E+02  
7  -6.393842E-02  3.000000E+00  -1.326558E+02  -6.657109E+01  
8  -6.393842E-02  3.000000E+00  -3.569859E+02  -6.517436E+01  
9  -6.393842E-02  3.000000E+00  1.063111E+02  8.657553E+01  
10  -6.393842E-02  3.000000E+00  1.573371E+02  -2.641796E+01  
11  -6.393842E-02  3.000000E+00  1.004524E+02  8.278709E+01  
12  -6.393842E-02  3.000000E+00  1.763251E+02  -5.189930E+01  
13  -6.393842E-02  3.000000E+00  -4.563308E+02  8.847785E+01  
14  -6.393842E-02  3.000000E+00  -4.720845E+02  -4.864480E+02  
15  -6.393842E-02  3.000000E+00  -4.200942E+02  9.382819E+01  
16  -6.393842E-02  3.000000E+00  2.323695E+02  1.561009E+02  
17  -6.393842E-02  3.000000E+00  -4.642341E+02  -6.569597E+00  
18  -6.393842E-02  3.000000E+00  2.630809E+02  3.351784E+02  
19  -6.393842E-02  3.000000E+00  -4.470430E+02  -6.038218E+02  
20  -6.393842E-02  3.000000E+00  -3.172820E+02  -1.726341E+02  
21  -6.393842E-02  3.000000E+00  -2.578705E+02  -5.216379E+01  
22  -6.393842E-02  3.000000E+00  -3.417714E+02  -1.834022E+02  
23  -6.393842E-02  3.000000E+00  3.547505E+02  -7.132022E+01  
24  -6.393842E-02  3.000000E+00  -3.797813E+02  -2.306423E+02  
25  -6.393842E-02  3.000000E+00  -4.214082E+02  -5.241245E+02  
26  -6.393842E-02  3.000000E+00  3.104605E+02  2.419991E+02  
27  -6.393842E-02  3.000000E+00  3.589964E+02  -9.422187E+01  
28  -6.393842E-02  3.000000E+00  1.605719E+02  1.996758E+02  
29  -6.393842E-02  3.000000E+00  -4.810916E+02  1.428496E+02  
30  -6.393842E-02  3.000000E+00  4.015784E+02  1.597513E+02  
31  -6.393842E-02  3.000000E+00  3.433858E+02  3.430709E+02  
32  -6.393842E-02  3.000000E+00  -3.594864E+02  -1.010932E+02  
33  -6.393842E-02  3.000000E+00  -2.676556E+02  -2.076744E+02  
34  -6.393842E-02  3.000000E+00  4.983125E+02  2.306086E+02  
35  -6.393842E-02  3.000000E+00  -1.155569E+02  -7.524521E+01  
36  -6.393842E-02  3.000000E+00  1.427612E+02  7.597203E+00  
37  -6.393842E-02  3.000000E+00  2.461679E+02  2.123592E+02  
38  -6.393842E-02  3.000000E+00  3.377627E+02  -3.371234E+01  
39  -6.393842E-02  3.000000E+00  3.689937E+02  1.268028E+02  
40  -6.393842E-02  3.000000E+00  2.380221E+02  8.423047E+01  
41  -6.393842E-02  3.000000E+00  4.433674E+02  -1.049358E+02  
42  -6.393842E-02  3.000000E+00  1.746175E+02  1.173676E+02  
43  -6.393842E-02  3.000000E+00  1.422051E+02  -1.932613E+01  
44  -6.393842E-02  3.000000E+00  4.601885E+02  4.697635E+02  
45  -6.393842E-02  3.000000E+00  3.130219E+02  1.737831E+02  
46  -6.393842E-02  3.000000E+00  1.449951E+02  1.089120E+02  
47  -6.393842E-02  3.000000E+00  1.191791E+02  -2.006292E+01  
48  -6.393842E-02  3.000000E+00  4.231501E+02  -1.348022E+02  
49  -6.393842E-02  3.000000E+00  3.973849E+02  2.901665E+01  
50  -6.393842E-02  3.000000E+00  -2.276855E+02  -1.408724E+02  
51  -6.393842E-02  3.000000E+00  -1.703077E+02  6.337232E+01  
52  -6.393842E-02  3.000000E+00  2.220372E+02  6.443671E+01  
53  -6.393842E-02  3.000000E+00  1.222602E+02  -4.210805E+01  
54  -6.393842E-02  3.000000E+00  4.912842E+02  7.498246E+02  
55  -6.393842E-02  3.000000E+00  -3.906722E+02  9.142315E+01  
56  -6.393842E-02  3.000000E+00  3.601005E+02  2.994051E+02  
57  -6.393842E-02  3.000000E+00  -4.347073E+02  -6.185365E+02  
58  -6.393842E-02  3.000000E+00  -3.520688E+02  8.126978E+01  
59  -6.393842E-02  3.000000E+00  1.779451E+02  3.628303E+01  
60  -6.393842E-02  3.000000E+00  -3.995656E+02  -2.955840E+02  
61  -6.393842E-02  3.000000E+00  3.304119E+02  3.979247E+02  
62  -6.393842E-02  3.000000E+00  -4.172325E+02  -1.122740E+02  
63  -6.393842E-02  3.000000E+00  -2.394644E+02  6.451447E+01  
64  -6.393842E-02  3.000000E+00  2.294914E+02  3.651670E+02  
65  -6.393842E-02  3.000000E+00  3.930940E+02  4.067316E+01  
66  -6.393842E-02  3.000000E+00  -1.902151E+02  7.102163E+01  
67  -6.393842E-02  3.000000E+00  3.132666E+02  8.875447E+01  
68  -6.393842E-02  3.000000E+00  3.268711E+02  2.767329E+02  
69  -6.393842E-02  3.000000E+00  -2.521472E+02  -2.582239E+02  
70  -6.393842E-02  3.000000E+00  3.007999E+02  2.270710E+02  
71  -6.393842E-02  3.000000E+00  1.032982E+02  1.552408E+02  
72  -6.393842E-02  3.000000E+00  -4.670975E+02  -5.686787E+02  
73  -6.393842E-02  3.000000E+00  1.326016E+02  -3.629003E+01  
74  -6.393842E-02  3.000000E+00  3.909080E+02  9.263374E+01  
75  -6.393842E-02  3.000000E+00  -2.382150E+02  -4.132117E+01  
76  -6.393842E-02  3.000000E+00  -1.110691E+02  -8.463723E+01  
77  -6.393842E-02  3.000000E+00  -1.825336E+02  1.818439E+01  
78  -6.393842E-02  3.000000E+00  -1.007781E+02  -1.370484E+02  
79  -6.393842E-02  3.000000E+00  -1.778021E+02  -2.466596E+02  
80  -6.393842E-02  3.000000E+00  -2.057201E+02  -1.381327E+01  
81  -6.393842E-02  3.000000E+00  3.056345E+02  1.981610E+02  
82  -6.393842E-02  3.000000E+00  4.961390E+02  4.723972E+02  
83  -6.393842E-02  3.000000E+00  -3.001284E+02  -4.138743E+02  
84  -6.393842E-02  3.000000E+00  -4.973918E+02  -1.759111E+02  
85  -6.393842E-02  3.000000E+00  -3.628282E+02  -3.368164E+02  
86  -6.393842E-02  3.000000E+00  -4.928918E+02  -1.817683E+01  
87  -6.393842E-02  3.000000E+00  -2.443094E+02  -3.709058E+02  
88  -6.393842E-02  3.000000E+00  -2.903657E+02  -3.386298E+02  
89  -6.393842E-02  3.000000E+00  -3.475411E+02  -3.109866E+02  
90  -6.393842E-02  3.000000E+00  -2.637632E+02  9.280952E+01  
91  -6.393842E-02  3.000000E+00  -4.774510E+02  -4.966760E+02  
92  -6.393842E-02  3.000000E+00  1.025585E+02  3.072015E+00  
93  -6.393842E-02  3.000000E+00  1.638295E+02  -1.140335E+01  
94  -6.393842E-02  3.000000E+00  4.640463E+02  3.624735E+02  
95  -6.393842E-02  3.000000E+00  4.406788E+02  4.797637E+02  
96  -6.393842E-02  3.000000E+00  3.480358E+02  5.254019E+02  
97  -6.393842E-02  3.000000E+00  3.624964E+02  4.248313E+02  
98  -6.393842E-02  3.000000E+00  1.441760E+02  1.442718E+02  
99  -6.393842E-02  3.000000E+00  4.129549E+02  -1.244583E+02  
100  -6.393842E-02  3.000000E+00  3.393452E+02  3.235865E+02  
