#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  failFlag
57  6.393842E-01  -6.393842E-02  3.000000E+00  -4.347073E+02  -1.535966E+03  -6.185365E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249448E+02  1.475990E+03  NAN  -9.999995E-01  1.254592E-04  -1.020293E-03  -1.856421E-04  -9.982460E-01  5.920149E-02  -1.011076E-03  5.920165E-02  9.982455E-01  0
3  6.393842E-01  -6.393842E-02  3.000000E+00  -4.793916E+02  -1.693850E+03  -6.069008E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.248957E+02  1.626844E+03  NAN  -9.999994E-01  1.115756E-04  -1.120567E-03  -1.716298E-04  -9.985551E-01  5.373646E-02  -1.112953E-03  5.373661E-02  9.985545E-01  0
19  6.393842E-01  -6.393842E-02  3.000000E+00  -4.470430E+02  -1.579552E+03  -6.038218E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250198E+02  1.517817E+03  NAN  -9.999988E-01  1.037942E-04  -1.563283E-03  -1.936216E-04  -9.983414E-01  5.757073E-02  -1.554714E-03  5.757096E-02  9.983402E-01  0
72  6.393842E-01  -6.393842E-02  3.000000E+00  -4.670975E+02  -1.650411E+03  -5.686787E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.251278E+02  1.585450E+03  NAN  9.999993E-01  -7.843782E-05  1.217466E-03  -1.454949E-04  -9.984766E-01  5.517723E-02  -1.211284E-03  5.517737E-02  9.984758E-01  0
25  6.393842E-01  -6.393842E-02  3.000000E+00  -4.214082E+02  -1.488976E+03  -5.241245E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250588E+02  1.430448E+03  NAN  -9.999983E-01  9.727281E-05  -1.867148E-03  -2.112795E-04  -9.981282E-01  6.115659E-02  -1.857704E-03  6.115688E-02  9.981264E-01  0
54  6.393842E-01  -6.393842E-02  3.000000E+00  4.912842E+02  1.735871E+03  7.498246E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250956E+02  1.663639E+03  NAN  -9.999995E-01  1.433409E-04  9.772335E-04  -1.945707E-04  -9.986142E-01  -5.262649E-02  9.683357E-04  -5.262665E-02  9.986138E-01  0
2  6.393842E-01  -6.393842E-02  3.000000E+00  3.974863E+02  1.404452E+03  3.736753E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250509E+02  1.345155E+03  7.142857E+01  -9.999921E-01  5.700747E-05  3.972724E-03  -3.166384E-04  -9.978602E-01  -6.538344E-02  3.960496E-03  -6.538419E-02  9.978523E-01  1
64  6.393842E-01  -6.393842E-02  3.000000E+00  2.294914E+02  8.108696E+02  3.651670E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250013E+02  7.782070E+02  4.366164E+01  -9.999887E-01  3.619287E-04  4.741293E-03  -8.951872E-04  -9.935994E-01  -1.129576E-01  4.670064E-03  -1.129605E-01  9.935885E-01  1
31  6.393842E-01  -6.393842E-02  3.000000E+00  3.433858E+02  1.213296E+03  3.430709E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250057E+02  1.162328E+03  6.786662E+01  -9.999932E-01  1.245051E-04  3.681271E-03  -4.028734E-04  -9.971295E-01  -7.571378E-02  3.661277E-03  -7.571475E-02  9.971228E-01  1
76  6.393842E-01  -6.393842E-02  3.000000E+00  -1.110691E+02  -3.924442E+02  -8.463723E+01  1.191925E-01  1.000000E+03  1.000000E+03  1.250012E+02  3.827475E+02  7.281335E+01  -9.999680E-01  5.905975E-04  -7.983730E-03  2.464685E-03  9.715472E-01  -2.368332E-01  -7.616698E-03  2.368453E-01  9.715175E-01  1
