#  index  lambda  kappa  tanbeta   mu/GeV  Alam/GeV  Akap/GeV  DeltaLambda2  M1  M2  mh125/GeV  mH/GeV  mhS/GeV  C_h125^SM  C_h125^NSM  C_h125^S  C_H^SM  C_H^NSM  C_H^S  C_hS^SM  C_hS^NSM  C_hS^S  
71  6.393842E-01  -6.393842E-02  3.000000E+00  1.032982E+02  3.649870E+02  1.552408E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249794E+02  3.565946E+02  6.553399E+01  -9.999517E-01  1.029816E-03  9.776560E-03  -3.481157E-03  -9.671508E-01  -2.541795E-01  9.193650E-03  -2.542012E-01  9.671077E-01  
1  6.393842E-01  -6.393842E-02  3.000000E+00  2.242692E+02  7.924178E+02  2.053939E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250293E+02  7.605245E+02  7.368450E+01  -9.999863E-01  2.837139E-04  5.232856E-03  -8.907340E-04  -9.932058E-01  -1.163677E-01  5.164287E-03  -1.163708E-01  9.931924E-01  
4  6.393842E-01  -6.393842E-02  3.000000E+00  -2.014597E+02  -7.118243E+02  -2.065603E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250266E+02  6.854941E+02  7.156090E+01  9.999868E-01  -2.402642E-04  5.127659E-03  -8.993788E-04  -9.916533E-01  1.289298E-01  -5.053883E-03  1.289327E-01  9.916405E-01  
33  6.393842E-01  -6.393842E-02  3.000000E+00  -2.676556E+02  -9.457165E+02  -2.076744E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249978E+02  9.091356E+02  8.167304E+01  -9.999907E-01  9.295651E-05  -4.313044E-03  -5.108290E-04  -9.952856E-01  9.698625E-02  -4.283695E-03  9.698755E-02  9.952764E-01  
70  6.393842E-01  -6.393842E-02  3.000000E+00  3.007999E+02  1.062826E+03  2.270710E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250130E+02  1.018440E+03  8.332488E+01  -9.999832E-01  3.859505E-05  5.795934E-03  -5.410536E-04  -9.962330E-01  -8.671508E-02  5.770754E-03  -8.671676E-02  9.962163E-01  
30  6.393842E-01  -6.393842E-02  3.000000E+00  4.015784E+02  1.418910E+03  1.597513E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249682E+02  1.358472E+03  1.172893E+02  9.997656E-01  1.072931E-03  -2.162587E-02  3.372926E-04  9.978786E-01  6.510112E-02  2.164984E-02  -6.509315E-02  9.976443E-01  
26  6.393842E-01  -6.393842E-02  3.000000E+00  3.104605E+02  1.096960E+03  2.419991E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249849E+02  1.051106E+03  8.257818E+01  -9.999863E-01  4.930021E-05  5.241256E-03  -4.893721E-04  -9.964661E-01  -8.399502E-02  5.218593E-03  -8.399643E-02  9.964524E-01  
50  6.393842E-01  -6.393842E-02  3.000000E+00  -2.276855E+02  -8.044888E+02  -1.408724E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.249770E+02  7.737508E+02  8.449348E+01  -9.999847E-01  3.190370E-05  -5.531817E-03  -6.640948E-04  -9.934439E-01  1.143187E-01  -5.491903E-03  1.143206E-01  9.934287E-01  
81  6.393842E-01  -6.393842E-02  3.000000E+00  3.056345E+02  1.079909E+03  1.981610E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250132E+02  1.034620E+03  8.966227E+01  9.999785E-01  4.512445E-05  -6.560387E-03  5.154929E-04  9.963442E-01  8.542808E-02  -6.540259E-03  8.542962E-02  -9.963227E-01  
69  6.393842E-01  -6.393842E-02  3.000000E+00  -2.521472E+02  -8.909201E+02  -2.582239E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250248E+02  8.568216E+02  7.083492E+01  -9.999915E-01  1.338733E-04  -4.116093E-03  -5.562402E-04  -9.947035E-01  1.027847E-01  -4.080532E-03  1.027861E-01  9.946951E-01  
68  6.393842E-01  -6.393842E-02  3.000000E+00  3.268711E+02  1.154945E+03  2.767329E+02  1.191925E-01  1.000000E+03  1.000000E+03  1.250203E+02  1.106465E+03  7.908304E+01  -9.999880E-01  9.321163E-05  4.889056E-03  -4.825437E-04  -9.968194E-01  -7.969284E-02  4.866077E-03  -7.969425E-02  9.968075E-01  
